"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"BB_N_PathOfTravelShape","44.564785200","-123.263400728",1,
"BB_N_PathOfTravelShape","44.564716330","-123.263118424",2,
"BB_N_PathOfTravelShape","44.564788123","-123.263078787",3,
"BB_N_PathOfTravelShape","44.564800146","-123.263072149",4,
"BB_N_PathOfTravelShape","44.564908171","-123.263017809",5,
"BB_N_PathOfTravelShape","44.565210057","-123.262867011",6,
"BB_N_PathOfTravelShape","44.565444171","-123.262746871",7,
"BB_N_PathOfTravelShape","44.565753949","-123.262586526",8,
"BB_N_PathOfTravelShape","44.565881248","-123.262522903",9,
"BB_N_PathOfTravelShape","44.566206716","-123.262348552",10,
"BB_N_PathOfTravelShape","44.566382685","-123.262258586",11,
"BB_N_PathOfTravelShape","44.566535781","-123.262178086",12,
"BB_N_PathOfTravelShape","44.566680156","-123.262103405",13,
"BB_N_PathOfTravelShape","44.566766678","-123.262058594",14,
"BB_N_PathOfTravelShape","44.566860919","-123.262010310",15,
"BB_N_PathOfTravelShape","44.566845647","-123.261964947",16,
"BB_N_PathOfTravelShape","44.566829126","-123.261886409",17,
"BB_N_PathOfTravelShape","44.566802711","-123.261791562",18,
"BB_N_PathOfTravelShape","44.566771148","-123.261665274",19,
"BB_N_PathOfTravelShape","44.566736718","-123.261526371",20,
"BB_N_PathOfTravelShape","44.566725619","-123.261482167",21,
"BB_N_PathOfTravelShape","44.566725611","-123.261482132",22,
"BB_N_PathOfTravelShape","44.566707957","-123.261411735",23,
"BB_N_PathOfTravelShape","44.566674602","-123.261281522",24,
"BB_N_PathOfTravelShape","44.566646833","-123.261168373",25,
"BB_N_PathOfTravelShape","44.566594259","-123.260957241",26,
"BB_N_PathOfTravelShape","44.566514569","-123.260645659",27,
"BB_N_PathOfTravelShape","44.566479133","-123.260505749",28,
"BB_N_PathOfTravelShape","44.566459110","-123.260428074",29,
"BB_N_PathOfTravelShape","44.566433611","-123.260329363",30,
"BB_N_PathOfTravelShape","44.566396217","-123.260178322",31,
"BB_N_PathOfTravelShape","44.566360848","-123.260042736",32,
"BB_N_PathOfTravelShape","44.566325463","-123.259904268",33,
"BB_N_PathOfTravelShape","44.566059921","-123.258847603",34,
"BB_N_PathOfTravelShape","44.565079140","-123.259347654",35,
"BB_N_PathOfTravelShape","44.564979797","-123.259401655",36,
"BB_N_PathOfTravelShape","44.564098171","-123.259848692",37,
"BB_N_PathOfTravelShape","44.563972812","-123.259910366",38,
"BB_N_PathOfTravelShape","44.563854962","-123.259966640",39,
"BB_N_PathOfTravelShape","44.563714189","-123.260044854",40,
"BB_N_PathOfTravelShape","44.563582651","-123.260106711",41,
"BB_N_PathOfTravelShape","44.563454667","-123.260174017",42,
"BB_N_PathOfTravelShape","44.563325227","-123.260241255",43,
"BB_N_PathOfTravelShape","44.563184918","-123.260307491",44,
"BB_N_PathOfTravelShape","44.563099451","-123.260354753",45,
